author_id,author_name
1,Charles Camacho
2,Maria Savage
3,Elizabeth Walker
4,Nicholas Johnson
5,Monica Sutton
6,Jennifer Cameron
7,Matthew Simmons
8,Stacy Smith
9,Dr. Tammy Hanna
10,Wyatt Jefferson
11,Jeremy Pena
12,Matthew Salazar
13,Erin Rhodes
14,Shawn Dixon
15,Hector Fisher
16,Tina Hunter
17,Ryan Black
18,Christina Humphrey
19,Amy Goodwin
20,Maria Hanna
21,Sue Mendez PhD
22,Jordan Moore
23,Michael Johnson
24,Matthew Daniels
25,Kevin Sims
26,Amy Sanchez
27,Tammy Jackson
28,Brittany Yates
29,Natalie Liu
30,Jared Gibson
31,Jesus Freeman
32,Tracy Hill
33,Charles Price
34,Lauren Cummings
35,Miranda Walker
36,Shawn Caldwell
37,Ashley Burns
38,Rachel Hawkins
39,Tammy Ramos
40,Lauren Price
41,Jared Burns
42,George Gray
43,Anthony Baker
44,Evelyn Nelson
45,Christopher Norman
46,Gregory Hicks
47,Troy Brown
48,Michael Rollins
49,James Gaines
50,Megan Higgins
51,John Hubbard
52,Mrs. Elizabeth Hall
53,Nathan Hall
54,Anthony Day
55,John Chambers
56,Becky Fisher
57,Theodore Miller
58,Lisa Bender
59,Matthew Johnson
60,Jessica Johnston
61,Helen Smith
62,Michelle Anderson
63,Jordan Lawson
64,Virginia Fowler
65,Christina Sandoval
66,Mrs. Christina Schultz
67,Hector Kirby
68,Jonathan Dixon
69,Brandon Mitchell
70,Jonathan Gibson
71,James Williams
72,Jennifer Blevins
73,Rhonda Krause
74,Kimberly Carter
75,Kelly Dyer
76,Sarah May
77,Kathy Arnold
78,Dr. Cody Bauer
79,Ian Stanley
80,Troy Grant
81,Rachel Neal
82,Kelly Daniels
83,Cassandra Frey
84,Elaine Serrano
85,Jose Cunningham
86,Brent Brewer
87,Maria Elliott
88,Rachel Taylor
89,Gina Jordan
90,Christopher Shelton
91,Haley Clark
92,Miranda Pugh
93,Cory Alexander
94,Charles Stephens
95,Mark Ryan
96,Courtney Armstrong
97,Becky Mays
98,Courtney Rodriguez
99,Charles York
100,Lauren Payne
101,Rhonda Sloan
102,Amber Perez
103,Patrick Ward
104,Rachel Nolan
105,Brittney Gray
106,Ana Morse
107,Dean Camacho
108,Nathan Beck
109,Heidi Walker
110,Peggy Jenkins
111,Donna Harris
112,Jesse Page
113,Douglas Hines
114,Susan Holland
115,Alicia Gutierrez
116,Deborah Marshall
117,Jared Cox
118,Tina Hendricks
119,Gabriel Anderson
120,Jennifer Adams
121,Richard Smith
122,Brandon Olsen
123,Cassie Webb
124,Anna Glenn
125,Jamie Williams
126,Pamela Morgan
127,Daniel Brown
128,Kevin Sullivan
129,Deborah Anderson
130,Timothy Haas
131,Tracy Rojas
132,Catherine Castillo
133,Ruben Manning
134,Sheri Peterson
135,Cynthia Braun
136,Alicia Lewis
137,Kathy Rhodes
138,Walter Phillips
139,Emily Montoya
140,Jason Thomas
141,Sharon French
142,Timothy Burton
143,Sherri Hamilton
144,Kathleen Jones DDS
145,Pamela Hanson
146,Rebecca Harris
147,Christopher Barton
148,Megan Hall
149,Christina Nelson
150,Erin Hunter
151,Lauren Fuller
152,John Ellis
153,Manuel Moon
154,Rachel Garner
155,Charles Chavez
156,Daniel Thompson
157,Donald Lopez
158,Rachel Villegas
159,Justin Nguyen
160,Marie Ward
161,Anthony Harvey
162,Kenneth Thomas
163,Devin Clements
164,James Dickson
165,Brittany Williams
166,Stephanie Bolton
167,Emily Kelley
168,Jeremy Andrews
169,Annette Meyer
170,Peter Johnson
171,Benjamin Mercado
172,Shelia Molina
173,Mark King
174,Gabrielle Larson
175,Matthew Robinson
176,William Jones
177,Brandi Garza
178,Teresa Murray
179,Lisa Henderson
180,Donna Davis
181,Lori Hall
182,Jonathan Parks
183,Aaron Rivera
184,Edward George
185,Autumn Collins
186,Kayla Harrison
187,James Fernandez
188,Jay Brown
189,Christine Baker
190,Roy Sutton
191,Steven Hernandez
192,Jamie Kaufman
193,Eric Howard
194,Mary Johnston
195,Kyle Maldonado
196,Craig Larson
197,Autumn Gonzalez
198,Mrs. Jordan Lewis
199,Angela Lester
200,Angel Friedman
