book_id,title,author_id,category_id,total_quantity
1,development,104,1,5
2,chance,28,2,5
3,these,16,4,7
4,in,100,4,7
5,become,51,4,8
6,indeed,196,3,8
7,fund,96,4,4
8,heart,69,5,4
9,Congress,36,1,5
10,word,196,3,3
11,people,29,3,4
12,professional,75,5,8
13,by,137,2,10
14,chance,172,4,7
15,product,52,3,10
16,benefit,105,1,5
17,someone,3,4,2
18,win,197,3,9
19,senior,175,5,2
20,society,143,3,8
21,bit,121,5,1
22,election,146,2,8
23,quality,160,4,7
24,water,177,2,4
25,improve,20,5,7
26,small,98,3,9
27,mention,186,4,3
28,team,93,4,9
29,reality,78,5,4
30,over,74,1,9
31,by,111,4,1
32,event,56,2,7
33,enough,78,5,10
34,find,26,2,4
35,group,173,5,5
36,reveal,95,5,3
37,leave,137,3,4
38,too,100,4,1
39,help,195,3,4
40,culture,182,2,9
41,mission,19,4,8
42,organization,6,2,2
43,teacher,158,4,8
44,laugh,110,4,9
45,take,198,1,2
46,these,13,4,8
47,matter,95,2,4
48,prepare,37,3,5
49,house,100,1,5
50,total,109,5,6
51,case,41,1,3
52,happen,154,3,6
53,single,174,2,6
54,good,5,1,7
55,more,61,3,10
56,sometimes,141,1,5
57,could,55,5,3
58,idea,54,1,5
59,political,101,5,5
60,certain,159,3,5
61,medical,139,3,3
62,industry,89,2,10
63,rest,153,2,5
64,plan,89,3,4
65,worker,52,3,3
66,each,68,2,1
67,strong,184,4,10
68,work,133,1,8
69,happy,121,1,5
70,partner,1,3,8
71,open,187,5,1
72,throughout,43,3,7
73,couple,121,1,6
74,tough,89,4,7
75,best,54,1,6
76,during,10,4,2
77,center,74,2,3
78,surface,12,5,3
79,new,64,5,8
80,edge,41,5,1
81,new,41,1,7
82,model,31,3,3
83,west,190,2,1
84,front,111,2,5
85,truth,168,4,10
86,risk,55,5,4
87,risk,169,2,9
88,study,193,1,4
89,second,187,4,3
90,play,11,1,4
91,professor,113,4,7
92,world,74,4,1
93,that,70,4,8
94,many,61,3,2
95,believe,184,3,2
96,population,54,1,5
97,hear,33,3,3
98,population,7,1,8
99,painting,65,5,3
100,answer,173,5,3
101,opportunity,89,3,5
102,public,42,3,2
103,thousand,157,4,6
104,night,175,4,2
105,hundred,123,3,8
106,receive,125,2,10
107,population,194,4,5
108,receive,182,3,8
109,explain,110,2,10
110,thing,18,4,4
111,improve,35,2,7
112,must,129,5,2
113,others,78,1,9
114,manage,51,1,2
115,some,70,2,10
116,reason,80,4,3
117,beat,105,5,6
118,yard,20,4,5
119,discuss,141,5,8
120,open,55,3,5
121,much,106,1,7
122,government,69,3,2
123,help,95,5,10
124,model,93,1,2
125,study,59,3,6
126,something,114,3,10
127,police,200,5,6
128,avoid,56,1,2
129,various,190,2,7
130,arrive,7,1,3
131,clear,8,1,2
132,national,37,4,5
133,firm,151,2,10
134,measure,185,2,7
135,region,123,1,3
136,spend,98,3,6
137,protect,52,2,5
138,develop,18,2,7
139,paper,37,5,7
140,until,88,3,6
141,only,22,4,2
142,American,195,3,5
143,simply,94,2,1
144,herself,177,5,6
145,attention,14,2,10
146,either,82,3,7
147,sign,37,3,6
148,subject,66,1,10
149,I,192,2,1
150,one,46,2,8
151,relate,49,1,6
152,happen,31,5,3
153,history,18,4,1
154,network,85,1,5
155,chance,181,3,3
156,ask,73,4,4
157,concern,56,4,10
158,learn,170,3,5
159,prevent,135,1,6
160,yet,26,2,9
161,few,117,5,3
162,challenge,195,2,1
163,heavy,157,5,9
164,state,107,5,3
165,goal,87,4,1
166,research,4,2,6
167,so,107,2,10
168,others,119,5,6
169,fact,106,3,9
170,college,169,3,3
171,guy,94,3,1
172,plan,111,2,5
173,ability,74,1,7
174,many,10,3,4
175,state,158,4,6
176,individual,142,1,4
177,participant,106,5,7
178,design,9,5,5
179,yes,79,1,2
180,summer,152,4,7
181,special,198,4,4
182,break,59,3,1
183,early,113,2,6
184,suffer,111,1,4
185,total,98,3,1
186,data,164,5,10
187,police,175,4,8
188,any,136,5,9
189,art,38,3,2
190,agreement,188,4,7
191,executive,196,3,5
192,forget,151,2,6
193,than,110,4,2
194,growth,105,1,9
195,first,160,3,1
196,black,135,2,8
197,fund,19,3,9
198,risk,175,1,2
199,push,45,3,6
200,these,123,4,3
