loan_id,user_id,book_id,loan_date,due_date,return_date
1,34,81,2024-01-01,2024-01-15,2024-01-01
1,34,115,2024-01-01,2024-01-15,
2,112,53,2024-01-01,2024-01-15,2024-01-13
2,112,155,2024-01-01,2024-01-15,2024-01-14
3,103,50,2024-01-01,2024-01-15,2024-01-06
3,103,66,2024-01-01,2024-01-15,
4,24,145,2024-01-01,2024-01-15,2024-01-10
4,24,94,2024-01-01,2024-01-15,
5,83,166,2024-01-01,2024-01-15,
5,83,41,2024-01-01,2024-01-15,
6,121,171,2024-01-01,2024-01-15,
6,121,156,2024-01-01,2024-01-15,
7,171,158,2024-01-01,2024-01-15,
7,171,61,2024-01-01,2024-01-15,
8,200,181,2024-01-01,2024-01-15,
8,200,29,2024-01-01,2024-01-15,2024-01-14
9,179,188,2024-01-01,2024-01-15,
9,179,166,2024-01-01,2024-01-15,2024-01-08
10,171,180,2024-01-01,2024-01-15,2024-01-09
10,171,17,2024-01-01,2024-01-15,
11,110,150,2024-01-01,2024-01-15,2024-01-02
11,110,192,2024-01-01,2024-01-15,
12,152,200,2024-01-01,2024-01-15,
12,152,112,2024-01-01,2024-01-15,
13,43,7,2024-01-01,2024-01-15,
13,43,101,2024-01-01,2024-01-15,
14,200,163,2024-01-01,2024-01-15,2024-01-04
14,200,94,2024-01-01,2024-01-15,2024-01-08
15,154,56,2024-01-01,2024-01-15,
15,154,176,2024-01-01,2024-01-15,
16,73,31,2024-01-01,2024-01-15,
16,73,88,2024-01-01,2024-01-15,
17,190,108,2024-01-01,2024-01-15,2024-01-05
17,190,58,2024-01-01,2024-01-15,
18,145,18,2024-01-01,2024-01-15,2024-01-13
18,145,60,2024-01-01,2024-01-15,2024-01-01
19,7,99,2024-01-01,2024-01-15,
19,7,153,2024-01-01,2024-01-15,2024-01-05
20,163,18,2024-01-01,2024-01-15,2024-01-05
20,163,180,2024-01-01,2024-01-15,2024-01-03
21,181,146,2024-01-01,2024-01-15,2024-01-11
21,181,84,2024-01-01,2024-01-15,2024-01-11
22,117,55,2024-01-01,2024-01-15,
22,117,29,2024-01-01,2024-01-15,
23,66,101,2024-01-01,2024-01-15,
23,66,136,2024-01-01,2024-01-15,2024-01-02
24,24,137,2024-01-01,2024-01-15,
24,24,138,2024-01-01,2024-01-15,
25,133,4,2024-01-01,2024-01-15,
25,133,111,2024-01-01,2024-01-15,
26,49,149,2024-01-01,2024-01-15,2024-01-14
26,49,71,2024-01-01,2024-01-15,2024-01-08
27,177,63,2024-01-01,2024-01-15,2024-01-12
27,177,168,2024-01-01,2024-01-15,
28,82,129,2024-01-01,2024-01-15,
28,82,171,2024-01-01,2024-01-15,
29,115,137,2024-01-01,2024-01-15,2024-01-12
29,115,141,2024-01-01,2024-01-15,
30,156,17,2024-01-01,2024-01-15,
30,156,34,2024-01-01,2024-01-15,
31,188,43,2024-01-01,2024-01-15,
31,188,147,2024-01-01,2024-01-15,2024-01-14
32,104,161,2024-01-01,2024-01-15,2024-01-05
32,104,100,2024-01-01,2024-01-15,2024-01-09
33,49,179,2024-01-01,2024-01-15,
33,49,177,2024-01-01,2024-01-15,
34,24,67,2024-01-01,2024-01-15,
34,24,112,2024-01-01,2024-01-15,2024-01-05
35,164,124,2024-01-01,2024-01-15,2024-01-04
35,164,199,2024-01-01,2024-01-15,2024-01-14
36,36,146,2024-01-01,2024-01-15,
36,36,43,2024-01-01,2024-01-15,
37,181,133,2024-01-01,2024-01-15,2024-01-12
37,181,132,2024-01-01,2024-01-15,2024-01-04
38,139,134,2024-01-01,2024-01-15,
38,139,139,2024-01-01,2024-01-15,2024-01-04
39,105,39,2024-01-01,2024-01-15,2024-01-07
39,105,138,2024-01-01,2024-01-15,
