queue_id,queue_start,user_id,book_id
1,2020-03-06 02:51:15,253,91
2,2021-01-31 04:58:37,184,90
3,2021-07-24 15:25:01,16,104
4,2022-08-13 12:06:31,8,40
5,2021-04-27 06:01:43,37,189
6,2020-06-20 00:38:37,48,196
7,2022-10-23 12:28:19,134,2
8,2021-05-22 22:10:16,95,167
9,2020-02-03 04:35:43,1,109
10,2021-10-25 01:32:22,57,89
11,2023-02-28 08:40:56,181,35
12,2021-12-14 03:30:39,231,184
13,2022-07-16 04:37:22,97,200
14,2023-12-08 02:29:30,243,155
15,2022-10-14 02:02:05,142,41
16,2020-12-12 03:08:23,139,124
17,2023-05-09 22:48:29,263,164
18,2022-11-28 15:25:34,207,32
19,2022-10-16 22:28:30,200,72
20,2020-04-25 00:47:24,29,97
21,2023-12-14 20:23:35,5,180
22,2021-01-02 01:48:30,182,95
23,2023-11-10 23:39:25,243,57
24,2022-03-23 21:43:19,108,65
25,2023-03-25 13:10:32,49,179
26,2023-09-26 21:57:06,171,75
27,2020-05-25 19:59:15,65,177
28,2021-11-03 11:57:24,167,29
29,2023-08-31 15:38:55,93,129
30,2020-04-15 14:54:13,177,27
31,2023-04-29 22:49:55,123,145
32,2021-05-04 11:58:09,9,182
33,2020-03-11 22:38:44,152,46
34,2020-04-23 04:15:36,294,129
35,2023-02-13 08:40:38,263,5
36,2021-03-25 06:55:37,22,126
37,2023-01-19 07:49:19,93,196
38,2021-07-11 09:12:00,280,156
39,2021-08-16 09:08:04,112,89
40,2021-09-04 07:09:40,88,100
41,2022-09-30 05:30:19,135,145
42,2020-01-16 14:11:48,171,106
43,2021-10-15 12:57:05,249,104
44,2022-01-18 05:14:41,248,167
45,2021-09-30 00:52:57,134,38
46,2022-07-07 13:48:23,64,189
47,2021-02-11 22:35:30,254,141
48,2020-09-05 08:08:38,162,143
49,2023-11-23 19:37:56,46,192
50,2020-10-07 18:02:19,215,169
51,2020-06-10 22:16:46,25,147
52,2020-01-02 17:28:05,265,169
53,2023-10-11 07:57:40,161,163
54,2020-01-01 02:54:37,210,86
55,2023-02-28 22:08:17,253,163
56,2021-05-20 00:51:58,134,139
57,2022-11-06 17:11:57,62,122
58,2020-08-06 20:19:00,184,26
59,2022-11-12 11:58:47,24,126
60,2022-03-23 03:23:04,266,187
61,2021-08-12 11:14:31,284,66
62,2021-11-30 01:15:02,121,37
63,2022-06-24 16:59:06,21,78
64,2021-12-10 08:47:41,90,140
65,2023-03-16 03:56:06,269,7
66,2020-12-16 18:09:46,258,77
67,2020-08-27 13:13:54,149,2
68,2023-07-10 03:40:19,30,87
69,2022-06-09 04:25:58,19,54
70,2021-03-02 00:48:11,34,16
71,2020-07-30 12:04:26,77,80
72,2021-10-26 15:58:22,205,123
73,2023-08-17 01:04:25,82,128
74,2022-02-15 05:40:53,52,4
75,2021-01-28 00:57:16,19,53
76,2021-12-29 19:20:48,51,13
77,2022-09-01 10:44:46,103,103
78,2022-12-04 17:08:33,174,60
79,2020-01-16 00:21:52,40,159
80,2020-03-28 04:18:50,272,72
81,2022-06-16 13:58:15,279,121
82,2020-11-15 00:37:08,170,153
83,2022-06-14 21:20:49,215,142
84,2020-04-06 12:16:30,61,196
85,2023-06-26 14:38:01,70,51
86,2022-01-17 16:55:05,56,125
87,2020-05-11 06:50:32,144,51
88,2021-05-10 08:01:22,184,119
89,2022-06-23 17:37:49,79,7
90,2023-05-02 16:52:28,42,119
91,2020-03-04 04:23:04,134,194
92,2020-04-01 16:42:13,155,120
93,2020-08-11 06:47:25,260,83
94,2022-05-12 00:19:45,9,184
95,2021-04-15 05:58:23,134,160
96,2022-08-12 10:41:19,109,73
97,2022-08-13 21:47:13,243,53
98,2023-09-19 16:41:59,20,108
99,2022-05-30 10:16:51,274,132
100,2020-01-04 02:57:26,17,54
101,2021-01-18 17:08:51,291,130
102,2021-11-20 00:35:15,168,65
103,2021-08-24 15:05:43,198,165
104,2021-07-30 14:42:27,183,106
105,2022-11-06 12:47:00,192,181
106,2022-09-13 23:34:52,154,60
107,2020-02-08 11:09:59,137,29
108,2021-12-16 08:45:16,192,101
109,2020-01-06 09:03:44,260,99
110,2021-12-01 00:38:06,165,55
111,2023-02-18 08:30:49,166,115
112,2020-12-19 19:08:28,179,39
113,2021-01-13 06:03:20,111,32
114,2022-02-08 12:58:45,244,161
115,2020-05-01 19:19:52,266,26
116,2020-05-13 08:55:12,55,88
117,2022-07-06 16:10:10,6,198
118,2022-03-20 15:19:33,147,61
119,2022-04-06 07:38:47,67,120
120,2022-11-19 04:08:11,114,172
121,2023-01-20 07:52:39,271,89
122,2020-04-24 00:44:26,143,38
123,2021-01-09 14:15:17,109,104
124,2021-08-23 11:29:41,268,176
125,2021-08-02 20:57:23,231,85
126,2020-01-11 18:57:04,240,91
127,2020-04-17 11:21:40,79,197
128,2023-07-31 01:02:29,152,179
129,2022-10-12 14:00:15,36,155
130,2021-02-06 03:33:30,146,119
131,2023-01-02 17:48:44,104,7
132,2023-03-11 17:51:02,244,133
133,2023-04-21 08:02:52,143,111
134,2022-05-17 20:45:48,283,35
135,2020-07-29 00:42:59,284,199
136,2021-07-26 08:03:43,83,161
137,2021-02-21 07:48:45,174,158
138,2021-12-20 08:49:26,156,197
139,2020-04-14 20:38:40,123,74
140,2020-08-25 14:24:14,44,157
141,2022-10-28 10:36:21,174,187
142,2021-01-10 23:20:58,181,10
143,2020-05-29 16:45:57,42,131
144,2023-07-05 14:33:56,32,108
145,2023-05-07 15:20:15,183,152
146,2021-01-26 03:16:49,133,168
147,2022-06-20 02:10:19,244,78
148,2022-04-08 04:45:22,279,82
149,2022-04-04 19:51:58,71,46
150,2020-02-02 06:31:07,42,58
151,2022-05-08 00:55:41,263,18
152,2020-04-24 06:49:40,4,30
153,2023-05-07 22:41:35,143,75
154,2021-03-13 07:00:48,28,107
155,2023-03-18 16:42:36,58,108
156,2021-01-12 08:25:07,278,44
157,2020-12-28 18:19:30,220,96
158,2020-06-13 03:35:25,105,167
159,2022-04-22 13:01:03,269,113
160,2021-04-17 18:52:49,32,90
161,2021-04-16 07:28:13,139,63
162,2022-05-11 08:20:05,70,33
163,2022-05-11 10:28:58,278,98
164,2022-01-19 06:38:58,90,106
165,2023-02-06 20:44:24,171,63
166,2022-05-20 06:36:49,81,159
167,2022-12-05 10:15:36,99,180
168,2023-11-07 02:20:33,32,163
169,2020-11-17 15:45:09,88,164
170,2022-06-19 13:21:25,22,63
171,2020-08-05 12:34:23,173,100
172,2021-02-18 14:14:50,278,134
173,2020-03-03 08:48:34,151,32
174,2022-04-05 15:51:02,191,109
175,2021-07-24 17:05:07,243,194
176,2020-01-08 23:15:38,145,92
177,2023-10-14 10:19:25,238,93
178,2023-03-20 15:21:04,17,26
179,2021-04-01 23:05:14,197,139
180,2022-01-30 14:16:33,21,48
181,2020-08-24 00:54:42,168,116
182,2022-12-21 12:58:36,174,23
183,2021-06-01 11:59:42,45,29
184,2021-07-20 13:38:21,75,101
185,2022-09-02 17:36:55,36,98
186,2022-09-13 20:22:28,163,43
187,2021-05-22 08:30:20,121,187
188,2022-08-02 00:10:27,46,175
189,2021-06-13 22:26:10,83,198
190,2020-09-21 01:49:49,54,10
191,2022-01-02 02:07:16,23,4
192,2021-08-13 21:46:51,27,5
193,2022-12-02 10:12:44,197,114
194,2023-09-26 08:14:54,285,159
195,2020-03-22 23:28:47,157,58
196,2022-10-02 12:32:52,217,129
197,2021-03-22 15:44:30,95,186
198,2023-05-30 22:33:28,287,94
199,2021-02-04 02:03:21,267,25
200,2023-04-17 18:53:10,193,40
